Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,975.000000,975.000000,975.000000,975.000000,974.325317,22298500
2023-10-10,1060.000000,1215.000000,1060.000000,1215.000000,1214.159180,13625200
2023-10-11,1515.000000,1515.000000,1515.000000,1515.000000,1513.951660,38431400
2023-10-12,1890.000000,1890.000000,1820.000000,1890.000000,1888.692139,219262300
2023-10-13,2360.000000,2360.000000,2240.000000,2360.000000,2358.366943,39504100
2023-10-16,2940.000000,2950.000000,2400.000000,2750.000000,2748.096924,227720100
2023-10-17,2650.000000,3430.000000,2650.000000,3430.000000,3427.626465,215604400
2023-10-18,3470.000000,4270.000000,3330.000000,3790.000000,3787.377197,311694400
2023-10-19,3800.000000,4160.000000,3800.000000,4050.000000,4047.197266,150507700
2023-10-20,4070.000000,4210.000000,3850.000000,4030.000000,4027.211182,85371300
2023-10-23,4000.000000,4040.000000,3560.000000,3740.000000,3737.411865,98962200
2023-10-24,3750.000000,3880.000000,3570.000000,3800.000000,3797.370361,40442200
2023-10-25,3820.000000,3860.000000,3770.000000,3820.000000,3817.356445,20457100
2023-10-26,3800.000000,3860.000000,3750.000000,3800.000000,3797.370361,23103000
2023-10-27,3820.000000,4110.000000,3800.000000,4060.000000,4057.190430,76315200
2023-10-30,4100.000000,4630.000000,3980.000000,4500.000000,4496.885742,136498000
2023-10-31,4500.000000,4610.000000,4390.000000,4580.000000,4576.830566,55551200
2023-11-01,4630.000000,4640.000000,4290.000000,4290.000000,4287.031250,50048400
2023-11-02,4290.000000,4450.000000,4030.000000,4050.000000,4047.197266,63249300
2023-11-03,4050.000000,4190.000000,3870.000000,4140.000000,4137.135254,54842200
2023-11-06,4150.000000,4310.000000,4110.000000,4290.000000,4287.031250,28846900
